Source,worth BUSD, worthChange millions USD
Finance and Investments  ==> investments,4,0
Energy  ==> natural gas distribution,4,0
Finance and Investments  ==> investments,4,0
Sports  ==> Home Depot,4,0
Diversified  ==> diversified,4,0
Technology  ==> mapping software,4,0
Energy  ==> petrochemicals,4,0
Real Estate  ==> shopping malls,4,0
Fashion & Retail  ==> sunglasses,4,0
Diversified  ==> diversified,4,-19
Real Estate  ==> real estate,4,0
Automotive  ==> motorcycles,4,0
Food and Beverage  ==> candy,4,0
Gambling & Casinos  ==> casinos,4,0
Media & Entertainment  ==> Marvel comics,4,0
"Diversified  ==> computer services, real estate",4,0
Manufacturing  ==> kitchen appliances,4,0
"Finance and Investments  ==> hotels, investments",4,0
Finance and Investments  ==> hedge funds,4,0
Fashion & Retail  ==> fashion,4,0
Real Estate  ==> real estate,4,23
Telecom  ==> mobile phone retailer,4,0
Technology  ==> Snapchat,4,0
Technology  ==> e-commerce,4,0
Energy  ==> pipelines,4,0
Real Estate  ==> real estate,4,0
Real Estate  ==> retail,4,0
Healthcare  ==> medical technology,4,0
Fashion & Retail  ==> furniture retailing,4,0
Technology  ==> Dolby Laboratories,4,0
"Healthcare  ==> pharmaceuticals, medical equipment",4,0
Automotive  ==> Toyota dealerships,4,0
Fashion & Retail  ==> retail,4,0
Real Estate  ==> real estate,4,0
Construction & Engineering  ==> construction,4,0
Fashion & Retail  ==> Estee Lauder,4,0
Fashion & Retail  ==> sporting goods,4,0
Technology  ==> venture capital,4,3
Food and Beverage  ==> food,4,0
Telecom  ==> telecom,4,0
Fashion & Retail  ==> Best Buy,4,0
Healthcare  ==> healthcare,4,0
Real Estate  ==> real estate,4,0
Food and Beverage  ==> food,4,0
Logistics  ==> package delivery,4,0
Metals & Mining  ==> aluminum,4,0
Technology  ==> software,4,0
Diversified  ==> diversified,3,0
Real Estate  ==> real estate,3,0
Finance and Investments  ==> private equity,3,0
Finance and Investments  ==> financial services,3,0
Finance and Investments  ==> coffee,3,0
Finance and Investments  ==> coffee,3,0
Fashion & Retail  ==> retail,3,0
