id,Source,worth BUSD, worthChange millions USD
7697,Manufacturing  ==> metalworking tools,5,0
8684,Healthcare  ==> medical devices,5,0
3085,Manufacturing  ==> vacuums,5,0
6638,Fashion & Retail  ==> diamond jewelry,5,0
5836,Technology  ==> semiconductors,5,0
3916,Finance and Investments  ==> money management,5,0
3838,Sports  ==> Dallas Cowboys,5,0
1142,Real Estate  ==> real estate,5,0
5210,Real Estate  ==> Real Estate,5,0
9952,"Manufacturing  ==> palm oil, property",5,0
1102,Real Estate  ==> real estate,5,0
5249,Manufacturing  ==> motors,5,0
9637,Manufacturing  ==> manufacturing,5,0
4689,Media & Entertainment  ==> publishing,5,0
5893,Manufacturing  ==> electronics,5,0
6564,"Metals & Mining  ==> steel, coal",5,0
2975,Service  ==> Carnival Cruises,5,37
1619,Energy  ==> pipelines,5,0
1638,Manufacturing  ==> chemicals,5,0
9716,Manufacturing  ==> chemicals,5,0
5732,Energy  ==> pipelines,5,0
5178,Energy  ==> pipelines,5,0
4863,Construction & Engineering  ==> roofing,5,0
9761,Manufacturing  ==> chemicals,5,0
9156,Fashion & Retail  ==> online retail,5,0
1632,Gambling & Casinos  ==> videogames,5,0
8415,"Real Estate  ==> real estate, finance",5,0
8207,Manufacturing  ==> manufacturing,5,0
7096,Manufacturing  ==> chemicals,5,0
4847,Energy  ==> pipelines,5,0
8475,Service  ==> after-school tutoring,5,0
1427,Metals & Mining  ==> aluminum products,5,0
9557,Food and Beverage  ==> cheese,5,0
9584,Food and Beverage  ==> cheese,5,0
2984,Service  ==> Amway,5,0
7482,Fashion & Retail  ==> coffee,5,0
4954,Fashion & Retail  ==> coffee,5,0
6706,Manufacturing  ==> Lego,5,0
2657,Manufacturing  ==> Lego,5,0
3315,Manufacturing  ==> Lego,5,0
1389,Manufacturing  ==> smartphone screens,5,0
2207,Technology  ==> electronics,5,0
8392,Food and Beverage  ==> commodities,5,0
9122,Finance and Investments  ==> private equity,5,0
8722,Real Estate  ==> real estate,5,0
7588,Manufacturing  ==> Lego,5,0
4914,"Diversified  ==> telecom, oil",5,0
3718,Manufacturing  ==> New Balance,5,0
6363,Technology  ==> Yahoo,5,530
9786,Gambling & Casinos  ==> casinos,5,0
1777,Finance and Investments  ==> private equity,5,0
9204,Food and Beverage  ==> cheese,5,0
4143,"Manufacturing  ==> chemicals, logistics",5,0
4308,"Metals & Mining  ==> steel, mining",5,0
1039,Finance and Investments  ==> hedge funds,5,0
2412,Service  ==> temp agency,5,0
8780,"Food and Beverage  ==> pizza, sports team",5,0
3061,Finance and Investments  ==> hedge funds,5,0
7001,Media & Entertainment  ==> Star Wars,5,0
8267,Media & Entertainment  ==> media,5,0
5789,Media & Entertainment  ==> publishing,5,0
5535,Food and Beverage  ==> frozen foods,5,0
5103,"Automotive  ==> batteries, automobiles",5,0
1176,"Diversified  ==> energy, investments",5,0
7789,"Energy  ==> oil, banking, telecom",5,0
6891,Fashion & Retail  ==> Home Depot,5,0
6047,"Diversified  ==> banking, minerals",5,0
2166,Logistics  ==> FedEx,5,0
5063,Healthcare  ==> medical equipment,5,0
7677,Diversified  ==> Virgin,5,0
8057,Media & Entertainment  ==> media,5,0
3271,Gambling & Casinos  ==> online gambling,5,0
4952,"Media & Entertainment  ==> book distribution, transportation",5,0
5767,Real Estate  ==> real estate,5,0
6408,Finance and Investments  ==> investments,5,0
1474,Manufacturing  ==> appliances,5,0
1276,"Diversified  ==> banking, minerals",5,0
9176,"Diversified  ==> banking, minerals",5,0
6516,"Finance and Investments  ==> banking, minerals",5,0
3863,Healthcare  ==> pharmaceuticals,5,0
2920,"Service  ==> hotels, investments",5,0
8670,Construction & Engineering  ==> cement,5,0
5088,Fashion & Retail  ==> duty-free,5,0
2811,Manufacturing  ==> diapers,5,0
6346,Fashion & Retail  ==> retail,5,0
9327,"Energy  ==> oil, investments",4,0
4021,Technology  ==> business software,4,0
4516,"Construction & Engineering  ==> construction, media",4,0
6746,Automotive  ==> motor vehicles,4,0
7865,Media & Entertainment  ==> cable television,4,0
3445,"Energy  ==> oil, real estate",4,0
4119,Service  ==> agribusiness,4,0
4546,Finance and Investments  ==> hedge funds,4,0
7104,Healthcare  ==> pharmaceuticals,4,0
4886,Logistics  ==> ports,4,0
2312,Media & Entertainment  ==> media,4,0
9713,Metals & Mining  ==> pipe manufacturing,4,0
7250,Healthcare  ==> medical devices,4,0
7511,Finance and Investments  ==> hedge funds,4,0
5745,Metals & Mining  ==> steel,4,0
3732,Finance and Investments  ==> mining,4,0
8713,"Real Estate  ==> real estate, private equity",4,0
7233,Fashion & Retail  ==> fashion retail,4,0
1109,Diversified  ==> diversified,4,0
7090,Technology  ==> Uber,4,0
8045,Food and Beverage  ==> Chick-fil-A,4,0
7885,Food and Beverage  ==> Chick-fil-A,4,0
8286,Technology  ==> surveillance equipment,4,0
4643,Fashion & Retail  ==> fashion retail,4,0
8025,"Energy  ==> oil, real estate",4,0
6718,Finance and Investments  ==> money management,4,0
5397,Technology  ==> Uber,4,0
4757,Metals & Mining  ==> metals,4,0
6976,Fashion & Retail  ==> retail,4,0
9770,Metals & Mining  ==> fertilizer,4,0
4027,Energy  ==> oil & gas,4,0
9456,Gambling & Casinos  ==> online gambling,4,0
2170,Technology  ==> eBay,4,0
8237,Food and Beverage  ==> food,4,0
