Source,worth BUSD, worthChange millions USD,age,gender,country,image,name,position
manufacturing  ==> electronics,1,0,69,none,none,https://specials-images.forbesimg.com/imageserve/5b15b5614bbe6f74868b92af/416x416.jpg?background=000000&cropx1=591&cropx2=2616&cropy1=89&cropy2=2113,koo bon-neung,1796
"energy  ==> oil, banking, telecom",1,0,57,male,none,https://specials-images.forbesimg.com/imageserve/5a809208a7ea4316901339df/416x416.jpg?background=000000&cropx1=6&cropx2=1302&cropy1=3&cropy2=1300,andrei kosogov,1797
diversified  ==> diversified,1,0,55,male,none,https://specials-images.forbesimg.com/imageserve/fb4206d4db22b05fd5eaa50cd0f6a15f/416x416.jpg?background=000000&cropx1=3&cropx2=744&cropy1=61&cropy2=802,lee ho-jin,1798
fashion & retail  ==> retail,1,0,73,male,none,https://specials-images.forbesimg.com/imageserve/58a0ef894bbe6f0e55869de6/416x416.jpg?background=000000&cropx1=2&cropx2=643&cropy1=3&cropy2=644,solomon lew,1799
energy  ==> natural gas,1,0,63,male,none,https://specials-images.forbesimg.com/imageserve/5a90ad9fa7ea434a0c2723c6/416x416.jpg?background=000000&cropx1=118&cropx2=1352&cropy1=238&cropy2=1473,rodney lewis,1800
manufacturing  ==> chemicals,1,0,54,male,people's republic of china,https://specials-images.forbesimg.com/imageserve/5a90ad9fa7ea434a0c2723c6/416x416.jpg?background=000000&cropx1=118&cropx2=1352&cropy1=238&cropy2=1473,li jiaquan,1801
energy  ==> gas,1,0,57,none,none,https://specials-images.forbesimg.com/imageserve/5a90ad9fa7ea434a0c2723c6/416x416.jpg?background=000000&cropx1=118&cropx2=1352&cropy1=238&cropy2=1473,lin fanlian,1802
manufacturing  ==> solar panel components,1,0,55,male,none,https://specials-images.forbesimg.com/imageserve/56c704e4e4b062f6b59a187d/416x416.jpg?background=000000&cropx1=0&cropx2=742&cropy1=208&cropy2=951,lin jianhua,1803
"fashion & retail  ==> footwear, apparel",1,0,55,male,none,https://specials-images.forbesimg.com/imageserve/5628f9d6e4b0ffa7afe624d4/416x416.jpg?background=000000&cropx1=79&cropx2=744&cropy1=3&cropy2=669,lin tianfu,1804
diversified  ==> investments,1,0,38,female,none,https://specials-images.forbesimg.com/imageserve/5628f9d6e4b0ffa7afe624d4/416x416.jpg?background=000000&cropx1=79&cropx2=744&cropy1=3&cropy2=669,louise lindh,1805
fashion & retail  ==> pharmacies,1,0,65,male,china,https://specials-images.forbesimg.com/imageserve/0cbb1af7d866aae7ae316d58d6f367e8/416x416.jpg?background=000000&cropx1=81&cropx2=741&cropy1=5&cropy2=666,liu baolin,1806
construction & engineering  ==> construction,1,0,84,none,spain,https://specials-images.forbesimg.com/imageserve/5a811241a7ea431690134020/416x416.jpg?background=000000&cropx1=849&cropx2=3365&cropy1=0&cropy2=2517,jose llado fernandez-urrutia,1807
technology  ==> drones,1,0,-2019,none,china,https://specials-images.forbesimg.com/imageserve/5a811241a7ea431690134020/416x416.jpg?background=000000&cropx1=849&cropx2=3365&cropy1=0&cropy2=2517,lu di,1808
food and beverage  ==> cargill,1,0,58,male,none,https://specials-images.forbesimg.com/imageserve/5a811241a7ea431690134020/416x416.jpg?background=000000&cropx1=849&cropx2=3365&cropy1=0&cropy2=2517,"cargill macmillan, iii.",1809
food and beverage  ==> cargill,1,0,68,male,none,https://specials-images.forbesimg.com/imageserve/5a811241a7ea431690134020/416x416.jpg?background=000000&cropx1=849&cropx2=3365&cropy1=0&cropy2=2517,john macmillan,1810
food and beverage  ==> cargill,1,0,66,female,united states,https://specials-images.forbesimg.com/imageserve/5a908f9b31358e79a28a1f10/416x416.jpg?background=000000&cropx1=103&cropx2=2410&cropy1=686&cropy2=2992,martha macmillan,1811
food and beverage  ==> cargill,1,0,64,none,none,https://specials-images.forbesimg.com/imageserve/5a908f9b31358e79a28a1f10/416x416.jpg?background=000000&cropx1=103&cropx2=2410&cropy1=686&cropy2=2992,william macmillan,1812
diversified  ==> investments,1,0,38,female,none,https://specials-images.forbesimg.com/imageserve/5a908f9b31358e79a28a1f10/416x416.jpg?background=000000&cropx1=103&cropx2=2410&cropy1=686&cropy2=2992,katarina martinson,1813
technology  ==> craigslist,1,0,65,male,none,https://specials-images.forbesimg.com/imageserve/59079b82a7ea437ada26cf0a/416x416.jpg?background=000000&cropx1=0&cropx2=2148&cropy1=201&cropy2=2348,craig newmark,1814
fashion & retail  ==> nordstrom department stores,1,0,84,male,none,https://specials-images.forbesimg.com/imageserve/56d0ba12e4b0c144a7f65ae3/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=47&cropy2=791,bruce nordstrom,1815
media & entertainment  ==> media,1,0,56,male,none,https://specials-images.forbesimg.com/imageserve/5a7bb276a7ea43169012f2ad/416x416.jpg?background=000000&cropx1=591&cropx2=2185&cropy1=30&cropy2=1624,pierre karl péladeau,1816
construction & engineering  ==> toll roads,1,0,44,none,mexico,https://specials-images.forbesimg.com/imageserve/5a7bb276a7ea43169012f2ad/416x416.jpg?background=000000&cropx1=591&cropx2=2185&cropy1=30&cropy2=1624,david penaloza alanis,1817
finance and investments  ==> mutual funds,1,0,53,none,none,https://specials-images.forbesimg.com/imageserve/5a7bb276a7ea43169012f2ad/416x416.jpg?background=000000&cropx1=591&cropx2=2185&cropy1=30&cropy2=1624,andreas pohl,1818
finance and investments  ==> mutual funds,1,0,58,male,none,https://specials-images.forbesimg.com/imageserve/5a7bb276a7ea43169012f2ad/416x416.jpg?background=000000&cropx1=591&cropx2=2185&cropy1=30&cropy2=1624,"reinfried pohl, jr.",1819
healthcare  ==> pharmaceuticals,1,0,78,male,none,https://specials-images.forbesimg.com/imageserve/5a7bb276a7ea43169012f2ad/416x416.jpg?background=000000&cropx1=591&cropx2=2185&cropy1=30&cropy2=1624,mahendra prasad,1820
manufacturing  ==> toys,1,0,46,male,canada,https://specials-images.forbesimg.com/imageserve/5a9827414bbe6f0fa82705bd/416x416.jpg?background=000000&cropx1=0&cropx2=1200&cropy1=105&cropy2=1305,anton rabie,1821
metals & mining  ==> trust fund,1,0,41,none,none,https://specials-images.forbesimg.com/imageserve/5a7a4b8da7ea43169012d8be/416x416.jpg?background=000000&cropx1=0&cropx2=1605&cropy1=271&cropy2=1877,bianca rinehart,1822
metals & mining  ==> trust fund,1,0,32,none,none,https://specials-images.forbesimg.com/imageserve/5a7a536931358e4955acc865/416x416.jpg?background=000000&cropx1=1187&cropx2=2359&cropy1=97&cropy2=1269,ginia rinehart,1823
"manufacturing  ==> fertilizer, real estate",1,0,65,male,united states,https://specials-images.forbesimg.com/imageserve/5a90911ea7ea434a0c2721cc/416x416.jpg?background=000000&cropx1=438&cropx2=1365&cropy1=66&cropy2=992,alexander rovt,1824
finance and investments  ==> banking,1,0,80,female,none,https://specials-images.forbesimg.com/imageserve/5a7c6cb331358e4955acecac/416x416.jpg?background=000000&cropx1=137&cropx2=3925&cropy1=394&cropy2=4183,lily safra,1825
diversified  ==> diversified,1,0,72,female,none,https://specials-images.forbesimg.com/imageserve/ddbd6d4875910de0fb53a4eb89fcc2f4/416x416.jpg?background=000000&cropx1=15&cropx2=578&cropy1=21&cropy2=584,deniz sahenk,1826
technology  ==> information technology,1,0,-2019,none,germany,https://specials-images.forbesimg.com/imageserve/5a7e1c0131358e4955ad10a9/416x416.jpg?background=000000&cropx1=2030&cropx2=5379&cropy1=270&cropy2=3616,karin schick,1827
healthcare  ==> pharmaceuticals,1,-29,65,none,none,https://specials-images.forbesimg.com/imageserve/5a908f4831358e79a28a1f00/416x416.jpg?background=000000&cropx1=1703&cropx2=3960&cropy1=354&cropy2=2613,leonard schleifer,1828
manufacturing  ==> chemicals,1,0,72,none,none,https://specials-images.forbesimg.com/imageserve/56c9cd37e4b062f6b59a2c63/416x416.jpg?background=000000&cropx1=2&cropx2=701&cropy1=226&cropy2=925,dieter schnabel,1829
manufacturing  ==> engineering,1,0,66,none,none,https://specials-images.forbesimg.com/imageserve/e041fff65ccf6e84832824c966725b5a/416x416.jpg?background=000000&cropx1=3&cropx2=744&cropy1=2&cropy2=743,bhadresh shah,1830
manufacturing  ==> diversified,1,0,63,male,none,https://specials-images.forbesimg.com/imageserve/e041fff65ccf6e84832824c966725b5a/416x416.jpg?background=000000&cropx1=3&cropx2=744&cropy1=2&cropy2=743,shao qinxiang,1831
technology  ==> online apparel retail,1,0,47,male,china,https://specials-images.forbesimg.com/imageserve/e041fff65ccf6e84832824c966725b5a/416x416.jpg?background=000000&cropx1=3&cropx2=744&cropy1=2&cropy2=743,eric ya shen,1832
fashion & retail  ==> retail,1,0,92,male,none,https://specials-images.forbesimg.com/imageserve/e041fff65ccf6e84832824c966725b5a/416x416.jpg?background=000000&cropx1=3&cropx2=744&cropy1=2&cropy2=743,nobutoshi shimamura,1833
real estate  ==> real estate,1,0,48,none,china,https://specials-images.forbesimg.com/imageserve/5a8df65b31358e4955adff84/416x416.jpg?background=000000&cropx1=189&cropx2=1135&cropy1=0&cropy2=945,shum chiu hung,1834
logistics  ==> shipping,1,0,78,male,none,https://specials-images.forbesimg.com/imageserve/ccad54e5f2f5a218d27defa679d96f3c/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=0&cropy2=744,helmut sohmen,1835
technology  ==> lighting,1,0,45,male,none,https://specials-images.forbesimg.com/imageserve/ccad54e5f2f5a218d27defa679d96f3c/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=0&cropy2=744,sun qinghuan,1836
real estate  ==> real estate,1,0,68,none,none,https://specials-images.forbesimg.com/imageserve/589db1eca7ea431f32192f04/416x416.jpg?background=000000&cropx1=89&cropx2=730&cropy1=105&cropy2=746,sun yinhuan,1837
fashion & retail  ==> supermarkets,1,0,68,male,none,https://specials-images.forbesimg.com/imageserve/5a19b178a7ea432f2e7401db/416x416.jpg?background=000000&cropx1=57&cropx2=847&cropy1=85&cropy2=875,djoko susanto,1838
construction & engineering  ==> construction,1,0,61,male,none,https://specials-images.forbesimg.com/imageserve/5a19b178a7ea432f2e7401db/416x416.jpg?background=000000&cropx1=57&cropx2=847&cropy1=85&cropy2=875,erol tabanca,1839
real estate  ==> real estate,1,0,72,none,none,https://specials-images.forbesimg.com/imageserve/58ad888b31358e1a35abd0bf/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=63&cropy2=807,alexander tedja,1840
finance and investments  ==> diversified,1,0,90,none,united states,https://specials-images.forbesimg.com/imageserve/56ce3338e4b062f6b59a807a/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=97&cropy2=841,wilma tisch,1841
metals & mining  ==> steel,1,0,54,male,none,https://specials-images.forbesimg.com/imageserve/56ce3338e4b062f6b59a807a/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=97&cropy2=841,ayhan tosyali,1842
metals & mining  ==> steel,1,0,52,male,turkey,https://specials-images.forbesimg.com/imageserve/56ce3338e4b062f6b59a807a/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=97&cropy2=841,fatih tosyali,1843
"manufacturing  ==> steel, heavy industry",1,0,57,male,none,https://specials-images.forbesimg.com/imageserve/56ce3338e4b062f6b59a807a/416x416.jpg?background=000000&cropx1=0&cropx2=744&cropy1=97&cropy2=841,tran dinh long,1844
technology  ==> semiconductors,1,0,68,male,none,https://specials-images.forbesimg.com/imageserve/58cc4ea831358e1a35ad3866/416x416.jpg?background=000000&cropx1=188&cropx2=689&cropy1=140&cropy2=641,tsai ming-kai,1845
