id,name,position
7613,isaac perlmutter,539
5559,"h. ross perot, sr.",540
8803,michael pieper,541
6858,thomas pritzker,542
8381,"julian robertson, jr.",543
4228,renzo rosso,544
9194,hussain sajwani,545
7277,yasumitsu shigeta,546
1885,evan spiegel,547
2945,wang xing,548
8955,kelcy warren,549
4176,ben ashkenazy,550
1145,ursula bechtolsheimer-kipp,551
3616,otto philipp braun,552
4442,che jianxing,553
2376,dagmar dolby,554
5308,traudl engelhorn,555
8759,dan friedkin,556
1211,sergei galitsky,557
8537,huang rulun,558
2446,erman ilicak,559
3011,ronald lauder,560
2399,michel leclercq,561
1541,michael moritz,562
5004,issad rebrab,563
3983,naguib sawiris,564
7592,richard schulze,565
7795,b.r. shetty,566
6612,jeff sutton,567
8008,tony tan caktiong,568
4884,yu huijiao,569
2713,zhang xuexin,570
5616,zhang yiming,571
1340,suhail bahwan,572
9711,rick caruso,573
1576,tom gores,574
6351,peter hargreaves,575
5631,daniela herz,576
5725,guenter herz,577
5902,masatoshi ito,578
3223,barry lam,579
7731,sudhir & samir mehta,580
1596,ravi pillai,581
5399,stewart and lynda resnick,582
7963,jerry speyer,583
1937,harry stine,584
6423,george ty,585
7750,steven udvar-hazy,586
1184,christoph zeller,587
9968,nathan blecharczyk,588
4234,hubert burda,589
2761,chen dongsheng,590
5173,brian chesky,591
4680,gustaf douglas,592
6780,joe gebbia,593
1391,peter gilgan,594
4022,jeff greene,595
2801,jiang weiping,596
3479,dominika & sebastian kulczyk,597
9947,li wa,598
8472,robert mcnair,599
4611,masahiro miki,600
1199,katharina otto-bernstein,601
3124,ira rennert,602
9736,henry samueli,603
4532,zeng fangqin,604
9712,zhang jin,605
8275,nick caporella,606
2764,mark cuban,607
4512,ken fisher,608
1852,jaime gilinski bacal,609
5360,andreas halvorsen,610
7072,h. fisk johnson,611
6034,imogene powers johnson,612
3619,s. curtis johnson,613
4785,helen johnson-leipold,614
1402,winifred johnson-marquart,615
9077,viatcheslav kantor,616
5704,samvel karapetyan,617
1530,marc ladreit de lacharriere,618
6041,angela leong,619
2570,li gaiteng,620
4649,mangal prabhat lodha,621
9248,michael milken,622
3907,yuri milner,623
2754,andreas struengmann,624
8740,thomas struengmann,625
2269,tse ping,626
2122,yitzhak tshuva,627
3950,samuel yin,628
9565,michael ashley,629
8576,cao longxiang,630
8120,jeffery hildebrand,631
1268,jiang rensheng,632
3713,"edward johnson, iv.",633
6235,elizabeth johnson,634
