id,age,gender,country,image,name,position,Source,worth BUSD, worthChange millions USD
4803,58,Male,None,https://specials-images.forbesimg.com/imageserve/5a7fd965a7ea43169013324c/416x416.jpg?background=000000&cropX1=2857&cropX2=5247&cropY1=8&cropY2=2396,thomas meyer,1609,Fashion & Retail  ==> apparel retailer,1,0
5800,72,Male,None,https://specials-images.forbesimg.com/imageserve/589fd5d54bbe6f0e5586907e/416x416.jpg?background=000000&cropX1=174&cropX2=652&cropY1=303&cropY2=782,ezra nahmad,1610,Finance and Investments  ==> art,1,0
6950,72,Female,None,https://specials-images.forbesimg.com/imageserve/5a7a596c31358e4955acc8e9/416x416.jpg?background=000000&cropX1=1125&cropX2=3433&cropY1=12&cropY2=2320,judith neilson,1611,Finance and Investments  ==> investments,1,0
1938,73,None,None,https://specials-images.forbesimg.com/imageserve/de1a43db35ae6e3cb505ff6a132c2db2/416x416.jpg?background=000000&cropX1=180&cropX2=744&cropY1=240&cropY2=804,madeleine olsson ericksson,1612,Diversified  ==> diversified,1,0
8569,48,Male,None,https://specials-images.forbesimg.com/imageserve/de1a43db35ae6e3cb505ff6a132c2db2/416x416.jpg?background=000000&cropX1=180&cropX2=744&cropY1=240&cropY2=804,ou zonghong,1613,Real Estate  ==> real estate,1,0
3637,59,None,United States,https://specials-images.forbesimg.com/imageserve/5a9f20b331358e79a28b2d5f/416x416.jpg?background=000000&cropX1=0&cropX2=2472&cropY1=168&cropY2=2638,eren ozmen,1614,Manufacturing  ==> aerospace,1,0
2038,60,Male,USA,https://specials-images.forbesimg.com/imageserve/5a9f218d31358e79a28b2d7f/416x416.jpg?background=000000&cropX1=0&cropX2=2472&cropY1=89&cropY2=2559,fatih ozmen,1615,Manufacturing  ==> aerospace,1,0
6487,77,Male,None,https://specials-images.forbesimg.com/imageserve/5a7b8aad4bbe6f2652f4f096/416x416.jpg?background=000000&cropX1=2609&cropX2=4884&cropY1=14&cropY2=2290,jose isaac peres,1616,Real Estate  ==> shopping malls,1,0
7576,52,Male,United States,https://specials-images.forbesimg.com/imageserve/5a90820b31358e79a28a1d51/416x416.jpg?background=000000&cropX1=1096&cropX2=4271&cropY1=380&cropY2=3553,mark pincus,1617,Technology  ==> online games,1,0
6390,45,Male,None,https://specials-images.forbesimg.com/imageserve/5a9087ca31358e79a28a1e3a/416x416.jpg?background=000000&cropX1=2143&cropX2=3423&cropY1=223&cropY2=1502,kevin plank,1618,Fashion & Retail  ==> Under Armour,1,0
